City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Mataura,NZ,71.98,overcast clouds,-46.1927,168.8643,Ellie's Villa
12,Daniel Flores,CR,70.14,overcast clouds,9.3355,-83.6694,Hotel San Isidro
18,Vila Velha,BR,78.8,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
24,Busselton,AU,79.0,clear sky,-33.65,115.3333,Observatory Guest House
27,Bryan,US,71.6,clear sky,30.6744,-96.37,Best Western Premier Bryan College Station
32,Rikitea,PF,79.5,clear sky,-23.1203,-134.9692,Pension Maro'i
41,San Patricio,US,73.4,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
46,Cabo San Lucas,MX,72.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
58,Soyo,AO,79.68,light rain,-6.1349,12.3689,Hotel Mpampa
60,Puerto Ayora,EC,78.01,broken clouds,-0.7393,-90.3518,Castillo Galapagos
62,Atuona,PF,79.25,broken clouds,-9.8,-139.0333,Villa Enata
76,Oussouye,SN,73.4,clear sky,12.485,-16.5469,Auberge du Routard
80,Cidreira,BR,75.78,overcast clouds,-30.1811,-50.2056,Hotel Castelo
82,Belmonte,BR,78.8,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
83,New Norfolk,AU,75.99,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
90,Tuy Hoa,VN,71.4,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
91,Kapaa,US,78.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
94,Omboue,GA,75.0,light rain,-1.5746,9.2618,Hotel Olako
98,Cape Town,ZA,71.01,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
100,Hobyo,SO,74.84,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
103,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
